ticker,file,path,volchg,chg,dir
bbgi,bbgi.us,us\nasdaq stocks\1\,0,0,0
bblu,bblu.us,us\nasdaq stocks\1\,0,0,0
bbox,bbox.us,us\nasdaq stocks\1\,0,0,0
bbp,bbp.us,us\nasdaq stocks\1\,0,0,0
bbrg,bbrg.us,us\nasdaq stocks\1\,0,0,0
bbry,bbry.us,us\nasdaq stocks\1\,0,0,0
bbsi,bbsi.us,us\nasdaq stocks\1\,0,0,0
bcbp,bcbp.us,us\nasdaq stocks\1\,0,0,0
bcli,bcli.us,us\nasdaq stocks\1\,0,0,0
bcom,bcom.us,us\nasdaq stocks\1\,0,0,0
bcor,bcor.us,us\nasdaq stocks\1\,0,0,0
bcov,bcov.us,us\nasdaq stocks\1\,0,0,0
bcpc,bcpc.us,us\nasdaq stocks\1\,0,0,0
bcrx,bcrx.us,us\nasdaq stocks\1\,0,0,0
bdbd,bdbd.us,us\nasdaq stocks\1\,0,0,0
bdcv,bdcv.us,us\nasdaq stocks\1\,0,0,0
bde,bde.us,us\nasdaq stocks\1\,0,0,0
bdge,bdge.us,us\nasdaq stocks\1\,0,0,0
bdms,bdms.us,us\nasdaq stocks\1\,0,0,0
bdsi,bdsi.us,us\nasdaq stocks\1\,0,0,0
beat,beat.us,us\nasdaq stocks\1\,0,0,0
beav,beav.us,us\nasdaq stocks\1\,0,0,0
bebe,bebe.us,us\nasdaq stocks\1\,0,0,0
becn,becn.us,us\nasdaq stocks\1\,0,0,0
bfin,bfin.us,us\nasdaq stocks\1\,0,0,0
bgcp,bgcp.us,us\nasdaq stocks\1\,0,0,0
bgfv,bgfv.us,us\nasdaq stocks\1\,0,0,0
bgmd,bgmd.us,us\nasdaq stocks\1\,0,0,0
bhac,bhac.us,us\nasdaq stocks\1\,0,0,0
bhbk,bhbk.us,us\nasdaq stocks\1\,0,0,0
bidu,bidu.us,us\nasdaq stocks\1\,0,0,0
biib,biib.us,us\nasdaq stocks\1\,0,0,0
bind,bind.us,us\nasdaq stocks\1\,0,0,0
bioc,bioc.us,us\nasdaq stocks\1\,0,0,0
biod,biod.us,us\nasdaq stocks\1\,0,0,0
biol,biol.us,us\nasdaq stocks\1\,0,0,0
bios,bios.us,us\nasdaq stocks\1\,0,0,0
biti,biti.us,us\nasdaq stocks\1\,0,0,0
bjri,bjri.us,us\nasdaq stocks\1\,0,0,0
bkcc,bkcc.us,us\nasdaq stocks\1\,0,0,0
bkep,bkep.us,us\nasdaq stocks\1\,0,0,0
bkmu,bkmu.us,us\nasdaq stocks\1\,0,0,0
bksc,bksc.us,us\nasdaq stocks\1\,0,0,0
blbd,blbd.us,us\nasdaq stocks\1\,0,0,0
blcm,blcm.us,us\nasdaq stocks\1\,0,0,0
bldp,bldp.us,us\nasdaq stocks\1\,0,0,0
bldr,bldr.us,us\nasdaq stocks\1\,0,0,0
blfs,blfs.us,us\nasdaq stocks\1\,0,0,0
blin,blin.us,us\nasdaq stocks\1\,0,0,0
blkb,blkb.us,us\nasdaq stocks\1\,0,0,0
blmn,blmn.us,us\nasdaq stocks\1\,0,0,0
blmt,blmt.us,us\nasdaq stocks\1\,0,0,0
blph,blph.us,us\nasdaq stocks\1\,0,0,0
blrx,blrx.us,us\nasdaq stocks\1\,0,0,0
blue,blue.us,us\nasdaq stocks\1\,0,0,0
bmrc,bmrc.us,us\nasdaq stocks\1\,0,0,0
bmrn,bmrn.us,us\nasdaq stocks\1\,0,0,0
bmtc,bmtc.us,us\nasdaq stocks\1\,0,0,0
bncl,bncl.us,us\nasdaq stocks\1\,0,0,0
bncn,bncn.us,us\nasdaq stocks\1\,0,0,0
bnft,bnft.us,us\nasdaq stocks\1\,0,0,0
bnso,bnso.us,us\nasdaq stocks\1\,0,0,0
bntc,bntc.us,us\nasdaq stocks\1\,0,0,0
bobe,bobe.us,us\nasdaq stocks\1\,0,0,0
boch,boch.us,us\nasdaq stocks\1\,0,0,0
bofi,bofi.us,us\nasdaq stocks\1\,0,0,0
boja,boja.us,us\nasdaq stocks\1\,0,0,0
bokf,bokf.us,us\nasdaq stocks\1\,0,0,0
bona,bona.us,us\nasdaq stocks\1\,0,0,0
bont,bont.us,us\nasdaq stocks\1\,0,0,0
boom,boom.us,us\nasdaq stocks\1\,0,0,0
bosc,bosc.us,us\nasdaq stocks\1\,0,0,0
bota,bota.us,us\nasdaq stocks\1\,0,0,0
botj,botj.us,us\nasdaq stocks\1\,0,0,0
bpfh,bpfh.us,us\nasdaq stocks\1\,0,0,0
bpmc,bpmc.us,us\nasdaq stocks\1\,0,0,0
bpop,bpop.us,us\nasdaq stocks\1\,0,0,0
bpth,bpth.us,us\nasdaq stocks\1\,0,0,0
brcd,brcd.us,us\nasdaq stocks\1\,0,0,0
brcm,brcm.us,us\nasdaq stocks\1\,0,0,0
brew,brew.us,us\nasdaq stocks\1\,0,0,0
brid,brid.us,us\nasdaq stocks\1\,0,0,0
brkl,brkl.us,us\nasdaq stocks\1\,0,0,0
brkr,brkr.us,us\nasdaq stocks\1\,0,0,0
brks,brks.us,us\nasdaq stocks\1\,0,0,0
brli,brli.us,us\nasdaq stocks\1\,0,0,0
bset,bset.us,us\nasdaq stocks\1\,0,0,0
bsf,bsf.us,us\nasdaq stocks\1\,0,0,0
bsft,bsft.us,us\nasdaq stocks\1\,0,0,0
bspm,bspm.us,us\nasdaq stocks\1\,0,0,0
bsqr,bsqr.us,us\nasdaq stocks\1\,0,0,0
bsrr,bsrr.us,us\nasdaq stocks\1\,0,0,0
bstc,bstc.us,us\nasdaq stocks\1\,0,0,0
buff,buff.us,us\nasdaq stocks\1\,0,0,0
bur,bur.us,us\nasdaq stocks\1\,0,0,0
buse,buse.us,us\nasdaq stocks\1\,0,0,0
bv,bv.us,us\nasdaq stocks\1\,0,0,0
bva,bva.us,us\nasdaq stocks\1\,0,0,0
bvsn,bvsn.us,us\nasdaq stocks\1\,0,0,0
bvxv,bvxv.us,us\nasdaq stocks\1\,0,0,0
bwen,bwen.us,us\nasdaq stocks\1\,0,0,0
bwfg,bwfg.us,us\nasdaq stocks\1\,0,0,0
bwld,bwld.us,us\nasdaq stocks\1\,0,0,0
bybk,bybk.us,us\nasdaq stocks\1\,0,0,0
byfc,byfc.us,us\nasdaq stocks\1\,0,0,0
bylk,bylk.us,us\nasdaq stocks\1\,0,0,0
bzun,bzun.us,us\nasdaq stocks\1\,0,0,0
ca,ca.us,us\nasdaq stocks\1\,0,0,0
caas,caas.us,us\nasdaq stocks\1\,0,0,0
cac,cac.us,us\nasdaq stocks\1\,0,0,0
cacb,cacb.us,us\nasdaq stocks\1\,0,0,0
cacc,cacc.us,us\nasdaq stocks\1\,0,0,0
cacq,cacq.us,us\nasdaq stocks\1\,0,0,0
cadc,cadc.us,us\nasdaq stocks\1\,0,0,0
cadt,cadt.us,us\nasdaq stocks\1\,0,0,0
cafd,cafd.us,us\nasdaq stocks\1\,0,0,0
cake,cake.us,us\nasdaq stocks\1\,0,0,0
cala,cala.us,us\nasdaq stocks\1\,0,0,0
